zipcode,caseid,cutoffym,mean_commute
30308,92771190,201201,24.1073506377266
30309,93337025,201201,23.2224763761812
30312,91895736,201201,25.5895337301587
30312,92027749,201201,25.5895337301587
30314,89598379,201207,27.3673573617394
30315,92229468,201201,33.5456298852908
30315,92807491,201201,33.5456298852908
30315,93576507,201201,33.5456298852908
30316,81417661,201207,30.7887182652983
30316,86658218,201207,30.7887182652983
30316,89190018,201207,30.7887182652983
30317,81137820,201207,29.9336762317271
30317,93814937,201201,29.9336762317271
30318,84017156,201207,26.7571468285225
30318,90578854,201201,26.7571468285225
30318,91111922,201201,26.7571468285225
30318,93120553,201201,26.7571468285225
30318,94193844,201201,26.7571468285225
30318,94915158,201201,26.7571468285225
30319,83840236,201207,26.3401877983528
30319,92393686,201201,26.3401877983528
30319,92557406,201201,26.3401877983528
30324,81607239,201207,24.7942721055203
30324,83720329,201207,24.7942721055203
30324,86913720,201207,24.7942721055203
30324,87094233,201207,24.7942721055203
30324,89262661,201207,24.7942721055203
30327,93064228,201201,22.324572699602
30328,87346615,201207,25.1924795709908
30328,90100152,201201,25.1924795709908
30328,91153119,201201,25.1924795709908
30328,92373455,201201,25.1924795709908
30328,93515010,201201,25.1924795709908
30331,91319522,201201,34.0001092609589
30331,93766269,201201,34.0001092609589
30337,90459515,201201,32.7176397257428
30338,87888946,201207,26.1207030973138
30338,91315038,201201,26.1207030973138
30339,84696832,201207,24.2174265122682
30339,91372657,201201,24.2174265122682
30340,90484731,201201,30.9927642106728
30341,86902153,201207,28.8996625286248
30341,88179203,201207,28.8996625286248
30341,91088079,201201,28.8996625286248
30341,91429195,201201,28.8996625286248
30342,84654029,201207,27.8022566456301
30342,85243877,201207,27.8022566456301
30342,93225261,201201,27.8022566456301
30344,80035282,201207,31.231562599554
30344,82516561,201207,31.231562599554
30344,86536606,201207,31.231562599554
30344,91934701,201201,31.231562599554
30344,94266104,201201,31.231562599554
30345,91881225,201201,30.0167822117011
30346,91699680,201201,25.9076779608331
30346,91871815,201201,25.9076779608331
30349,82498171,201207,33.9851459346769
30349,93087496,201201,33.9851459346769
30350,82060671,201207,29.5047879215133
30350,86278401,201207,29.5047879215133
30360,88072993,201207,31.7012810029981
30360,94320547,201201,31.7012810029981
30363,85598456,201207,25.657255616272
30401,80118671,201302,26.9425042589438
