caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
86694216,7834.0071,2,2013,1,0,"CARRABELLE BEACH","","","CARRABELLE","","FL","","",36,"29.7967N,84.7461W","29.7967N,84.7461W",1,0,"-1","-1","-1",-1,2,2
86695978,7087.5426,3,2013,0,1,"","","","ENGLEWOOD","","FL","SARASOTA","",54,"26.9504N,82.3531W","26.9055N,82.3502W",4,0,"-1","-1","-1",4,2,1
86704722,1618.097,1,2013,70.465886,4.9040491,"","","","NEW SMYRNA BEACH","","FL","","",74,"29.0269N,80.9228W","29.0269N,80.9228W",,0,"-1","-1","-1",,,
86704722,2764.0245,2,2013,42.224367,2.9385903,"","","","NEW SMYRNA BEACH","","FL","","",74,"29.0269N,80.9228W","29.0269N,80.9228W",,0,"-1","-1","-1",,,
86704722,2764.0245,2,2013,1,0,"","","","NEW SMYRNA BEACH","","FL","","",74,"29.0269N,80.9228W","29.0269N,80.9228W",1,0,"-1","-1","-1",-1,3,-1
86704722,2764.0245,2,2013,1,0,"","","","NEW SMYRNA BEACH","","FL","","",74,"29.0269N,80.9228W","29.0269N,80.9228W",1,0,"-1","-1","-1",-1,3,-1
86704722,2764.0245,2,2013,1,0,"","","","NEW SMYRNA BEACH","","FL","","",74,"29.0269N,80.9228W","29.0269N,80.9228W",1,0,"-1","-1","-1",-1,3,-1
86704722,1995.8956,12,2012,66.814073,4.6499024,"","","","NEW SMYRNA BEACH","","FL","","",74,"29.0269N,80.9228W","29.0269N,80.9228W",,0,"-1","-1","-1",,,
86708104,1484.8844,12,2012,1,0,"","","","CLEARWATER BEACH","","FL","PINELLAS","",44,"28.0000N,82.8286W","28.0000N,82.8286W",1,0,"-1","-1","-1",-1,2,1
86708104,4141.0101,2,2013,1,0,"","","","CRYSTAL RIVER","","FL","CITRUS","",40,"28.9001N,82.5930W","28.9001N,82.5930W",1,0,"-1","-1","-1",-1,2,2
86717562,5452.9219,2,2013,1,0,"","","","FORT MYERS BEACH","","FL","","",57,"26.4486N,81.9427W","26.4486N,81.9427W",1,0,"-1","-1","-1",-1,2,1
86717562,7623.5851,12,2012,.31639556,0,"LOVERS KEY STATE PARK","","","FORT MYERS BEACH","","FL","LEE","",57,"26.3882N,81.8777W","26.4486N,81.9427W",,0,"-1","-1","-1",,,
86717562,5452.9219,2,2013,.34991586,0,"LOVERS KEY STATE PARK","","","FORT MYERS BEACH","","FL","LEE","",57,"26.3882N,81.8777W","26.4486N,81.9427W",,0,"-1","-1","-1",,,
86717562,5590.5775,1,2013,.33368858,0,"LOVERS KEY STATE PARK","","","FORT MYERS BEACH","","FL","LEE","",57,"26.3882N,81.8777W","26.4486N,81.9427W",,0,"-1","-1","-1",,,
86720919,2459.4843,4,2013,1.9246342,0,"","","","SAINT MARYS","","GA","CAMDEN","",82,"30.7311N,81.5460W","31.1352N,81.4005W",,0,"-1","-1","-1",,,
